fecha;propietario_mnemotecnico;propietario_nombre;balance_energia;balance_valorizado
2025-01-01;G0550;DOÑA JAVIERA VALLEDOR SPA;14186,0;1172698,0
2025-01-01;G0552;LUCE SOLAR SPA;458799,0;5084769,0
2025-01-01;G0553;ILLALOLEN S.A.;528237,0;2051515,0
2025-01-01;G0555;IBEREÓLICA CABO LEONES II S.A.;-32341638,0;-2553113101,0
2025-01-01;G0557;SONNEDIX FOTOVOLTAICA ALGARROBO SPA;718526,0;9335347,0
2025-01-01;G0558;TAMARUGAL SOLAR 1 S.A.;0,0;0,0
2025-01-01;G0559;DUERO ENERGÍA COPIULEMU SPA;58053,0;662974,0
2025-01-01;G0561;WPD NEGRETE SPA;3535532,0;-16483194,0
2025-01-01;G0563;SOLAR TI ONCE SPA;232438,0;3012710,0
2025-01-01;G0564;ECLIPSE SOLAR SPA;1490325,0;14992097,0
2025-01-01;G0565;PILPILÉN SPA;685908,0;9266901,0
2025-01-01;G0569;GENERADORA CALAFATE SPA;33942,0;7031479,0
2025-01-01;G0570;FOTOVOLTAICA ACACIA SPA;686956,0;9144676,0
2025-01-01;G0571;FOTOVOLTAICA EL MANZANO SPA;351767,0;4131373,0
2025-01-01;G0573;EMPRESA ELÉCTRICA LA COMPAÑÍA SPA;1330211,0;59323900,0
2025-01-01;G0574;GR TAMARUGO SPA;2104004,0;26888580,0
2025-01-01;G0575;SPV P4 SPA;4762268,0;30933596,0
2025-01-01;G0577;AUSTRIANSOLAR CHILE SEIS SPA;17928528,0;108924392,0
2025-01-01;G0578;KONDA SOLAR SPA;637371,0;8193441,0
2025-01-01;G0582;FOTOVOLTAICA MAÑIO SPA;1032256,0;10978610,0
2025-01-01;G0583;HIDROELÉCTRICA LAS JUNTAS S.A.;1097271,0;41792138,0
2025-01-01;G0584;WPD MALLECO SPA;24334554,0;271365326,0
2025-01-01;G0587;LAS CHACRAS ENERGY SPA;676646,0;7172424,0
2025-01-01;G0588;INVERSIONES CHACABUCO SPA;2737427,0;34765190,0
2025-01-01;G0590;PARQUE SOLAR FOTOVOLTAICO SOL DEL DESIERTO SPA;25871149,0;41115803,0
2025-01-01;G0591;FOTOVOLTAICA LA LIGUA SPA;630550,0;3064125,0
2025-01-01;G0592;PFV MARÍA PINTO SPA;773009,0;9460036,0
2025-01-01;G0593;TRICAHUE SPA;701197,0;8871016,0
2025-01-01;G0594;PARQUE SOLAR CATEMU SPA;480008,0;5844896,0
2025-01-01;G0595;PFV EL CHUCAO SPA;755233,0;1187672,0
2025-01-01;G0596;CHESTER SOLAR I SPA;1628877,0;20545689,0
2025-01-01;G0598;CENTRAL YUNGAY S.A.;956948,0;171849234,0
2025-01-01;G0599;MGM INNOVA CAPITAL CHILE SPA;65239,0;889833,0
2025-01-01;G0600;CHUNGUNGO SOLAR SPA;2682779,0;10416739,0
2025-01-01;G0601;DON MARIANO ENERGY SPA;740086,0;8967386,0
2025-01-01;G0602;MAITÉN SPA;672615,0;8067302,0
2025-01-01;G0607;LOS PORTONES S.A.;110499,0;13762184,0
